,dataset,clf,adaptive_quads_enabled,window_ratio,iteration,time,mae
0,data/WBC_withoutdupl_norm,liblinear,True,0.1,1,2.0932881,0.5082030675635706
1,data/WBC_withoutdupl_norm,liblinear,True,0.5,1,0.1765566,0.6479818119932061
2,data/WBC_withoutdupl_norm,liblinear,True,1.0,1,0.4257226,0.7055614862340244
3,data/WBC_withoutdupl_norm,liblinear,False,0.1,1,0.0110758,0.508078542974031
4,data/WBC_withoutdupl_norm,liblinear,False,0.5,1,0.0436076,0.6479707521630304
5,data/WBC_withoutdupl_norm,liblinear,False,1.0,1,0.0662464,0.70557101330194
6,data/WBC_withoutdupl_norm,decision_tree,True,0.1,1,2.1124034,0.2965375702098686
7,data/WBC_withoutdupl_norm,decision_tree,True,0.5,1,0.2648238,0.2985246517814244
8,data/WBC_withoutdupl_norm,decision_tree,True,1.0,1,0.372077,0.2970470533420855
9,data/WBC_withoutdupl_norm,decision_tree,False,0.1,1,0.0193935,0.302268223661495
10,data/WBC_withoutdupl_norm,decision_tree,False,0.5,1,0.0289863,0.3253476799428141
11,data/WBC_withoutdupl_norm,decision_tree,False,1.0,1,0.0380322,0.2685509290987049
12,data/WBC_withoutdupl_norm,svc,True,0.1,1,3.7166424,0.6488257939913391
13,data/WBC_withoutdupl_norm,svc,True,0.5,1,2.2034572,0.709455269485809
14,data/WBC_withoutdupl_norm,svc,True,1.0,1,4.6542614,0.6456672141173359
15,data/WBC_withoutdupl_norm,svc,False,0.1,1,0.1911462,0.5780423294166703
16,data/WBC_withoutdupl_norm,svc,False,0.5,1,0.3626386,0.7534918636918179
17,data/WBC_withoutdupl_norm,svc,False,1.0,1,0.6096589,0.7667202656966272
18,data/WBC_withoutdupl_norm,logreg,True,0.1,1,3.4602579,0.7197273658459462
19,data/WBC_withoutdupl_norm,logreg,True,0.5,1,7.2880905,0.7493395199098729
20,data/WBC_withoutdupl_norm,logreg,True,1.0,1,9.6844431,0.7510058340054115
21,data/WBC_withoutdupl_norm,logreg,False,0.1,1,0.7611657,0.7549302383564068
22,data/WBC_withoutdupl_norm,logreg,False,0.5,1,2.0837302,0.7864938028703767
23,data/WBC_withoutdupl_norm,logreg,False,1.0,1,2.7064283,0.7866145304981957
24,data/WBC_withoutdupl_norm,klr,True,0.1,1,5.8012896,0.2722205801222161
25,data/WBC_withoutdupl_norm,klr,True,0.5,1,11.6607451,0.1570689989719265
26,data/WBC_withoutdupl_norm,klr,True,1.0,1,38.9876608,0.3385333833083556
27,data/WBC_withoutdupl_norm,klr,False,0.1,1,0.2952471,0.7470433177249588
28,data/WBC_withoutdupl_norm,klr,False,0.5,1,1.0003981,0.7937690210081939
29,data/WBC_withoutdupl_norm,klr,False,1.0,1,3.7836211,0.7995580268229714
30,data/WBC_withoutdupl_norm,libsvm,True,0.1,1,1.5818383,0.6678624621406596
31,data/WBC_withoutdupl_norm,libsvm,True,0.5,1,1.501031,0.7232914474347852
32,data/WBC_withoutdupl_norm,libsvm,True,1.0,1,3.0467104,0.6717366932131539
33,data/WBC_withoutdupl_norm,libsvm,False,0.1,1,0.0937191,0.6098958354144867
34,data/WBC_withoutdupl_norm,libsvm,False,0.5,1,0.3117806,0.7544706789639011
35,data/WBC_withoutdupl_norm,libsvm,False,1.0,1,0.5895542,0.77650105381952
36,data/WBC_withoutdupl_norm,svc,True,1.0,1,5.5079261,0.6456672141173359
37,data/WBC_withoutdupl_norm,libsvm,True,1.0,1,1.5554868,0.643785681297838
38,data/WBC_withoutdupl_norm,liblinear,True,0.1,2,0.0349979,0.5082858473141146
39,data/WBC_withoutdupl_norm,liblinear,True,0.5,2,0.1932029,0.6479807651666281
40,data/WBC_withoutdupl_norm,liblinear,True,1.0,2,0.3341692,0.7055812339133878
41,data/WBC_withoutdupl_norm,liblinear,False,0.1,2,0.0074364,0.5082544192380659
42,data/WBC_withoutdupl_norm,liblinear,False,0.5,2,0.0319745,0.6479830183870725
43,data/WBC_withoutdupl_norm,liblinear,False,1.0,2,0.0672194,0.7055912120516984
44,data/WBC_withoutdupl_norm,decision_tree,True,0.1,2,0.1246363,0.2975944036561024
45,data/WBC_withoutdupl_norm,decision_tree,True,0.5,2,0.190598,0.2996987076911234
46,data/WBC_withoutdupl_norm,decision_tree,True,1.0,2,0.3118411,0.3012019345848712
47,data/WBC_withoutdupl_norm,decision_tree,False,0.1,2,0.0188639,0.2846915758903583
48,data/WBC_withoutdupl_norm,decision_tree,False,0.5,2,0.0499842,0.313192740640856
49,data/WBC_withoutdupl_norm,decision_tree,False,1.0,2,0.0298062,0.3283482415379836
50,data/WBC_withoutdupl_norm,svc,True,0.1,2,0.959119,0.6488257939913391
51,data/WBC_withoutdupl_norm,svc,True,0.5,2,2.0669007,0.709455269485809
52,data/WBC_withoutdupl_norm,svc,True,1.0,2,4.5620187,0.6456672141173359
53,data/WBC_withoutdupl_norm,svc,False,0.1,2,0.2048519,0.5780423294166703
54,data/WBC_withoutdupl_norm,svc,False,0.5,2,0.3908023,0.7534918636918179
55,data/WBC_withoutdupl_norm,svc,False,1.0,2,0.6261077,0.7667202656966272
56,data/WBC_withoutdupl_norm,logreg,True,0.1,2,2.9882656,0.7197273658459462
57,data/WBC_withoutdupl_norm,logreg,True,0.5,2,8.6038739,0.7493395199098729
58,data/WBC_withoutdupl_norm,logreg,True,1.0,2,9.5217251,0.7510058340054115
59,data/WBC_withoutdupl_norm,logreg,False,0.1,2,0.6787701,0.7549302383564068
60,data/WBC_withoutdupl_norm,logreg,False,0.5,2,1.6807728,0.7864938028703767
61,data/WBC_withoutdupl_norm,logreg,False,1.0,2,2.7055237,0.7866145304981957
62,data/WBC_withoutdupl_norm,klr,True,0.1,2,5.1695902,0.2722205801222161
63,data/WBC_withoutdupl_norm,klr,True,0.5,2,11.8441494,0.1570689989719265
64,data/WBC_withoutdupl_norm,klr,True,1.0,2,41.6994633,0.3385333833083556
65,data/WBC_withoutdupl_norm,klr,False,0.1,2,0.4422288,0.7470433177249588
66,data/WBC_withoutdupl_norm,klr,False,0.5,2,1.0035424,0.7937690210081939
67,data/WBC_withoutdupl_norm,klr,False,1.0,2,3.6412122,0.7995580268229714
68,data/WBC_withoutdupl_norm,libsvm,True,0.1,2,0.5119861,0.6609446929260706
69,data/WBC_withoutdupl_norm,libsvm,True,0.5,2,1.8103351,0.7069322097425577
70,data/WBC_withoutdupl_norm,libsvm,True,1.0,2,2.7487335,0.6690553854279976
71,data/WBC_withoutdupl_norm,libsvm,False,0.1,2,0.0975445,0.6173968094678661
72,data/WBC_withoutdupl_norm,libsvm,False,0.5,2,0.3166466,0.7623675399063937
73,data/WBC_withoutdupl_norm,libsvm,False,1.0,2,0.6213348,0.7760343786534688
74,data/WBC_withoutdupl_norm,svc,True,1.0,2,4.8727756,0.6456672141173359
75,data/WBC_withoutdupl_norm,libsvm,True,1.0,2,0.8549803,0.6446684149815676
76,data/WBC_withoutdupl_norm,liblinear,True,0.1,3,0.0328766,0.5081981629434421
77,data/WBC_withoutdupl_norm,liblinear,True,0.5,3,0.1597887,0.6479794707290658
78,data/WBC_withoutdupl_norm,liblinear,True,1.0,3,0.332749,0.7055679345172511
79,data/WBC_withoutdupl_norm,liblinear,False,0.1,3,0.0075177,0.5083958701828631
80,data/WBC_withoutdupl_norm,liblinear,False,0.5,3,0.0321282,0.6479783839672445
81,data/WBC_withoutdupl_norm,liblinear,False,1.0,3,0.0668443,0.7055810707027735
82,data/WBC_withoutdupl_norm,decision_tree,True,0.1,3,0.1147283,0.2919204368672564
83,data/WBC_withoutdupl_norm,decision_tree,True,0.5,3,0.1988222,0.2982276914194298
84,data/WBC_withoutdupl_norm,decision_tree,True,1.0,3,0.3277274,0.2945352930709346
85,data/WBC_withoutdupl_norm,decision_tree,False,0.1,3,0.0166923,0.2904052846110574
86,data/WBC_withoutdupl_norm,decision_tree,False,0.5,3,0.0292298,0.3288970769309309
87,data/WBC_withoutdupl_norm,decision_tree,False,1.0,3,0.064479,0.2707761550436411
88,data/WBC_withoutdupl_norm,svc,True,0.1,3,1.227696,0.6488257939913391
89,data/WBC_withoutdupl_norm,svc,True,0.5,3,2.3335501,0.709455269485809
90,data/WBC_withoutdupl_norm,svc,True,1.0,3,4.8115937,0.6456672141173359
91,data/WBC_withoutdupl_norm,svc,False,0.1,3,0.185402,0.5780423294166703
92,data/WBC_withoutdupl_norm,svc,False,0.5,3,0.3693279,0.7534918636918179
93,data/WBC_withoutdupl_norm,svc,False,1.0,3,0.6628547,0.7667202656966272
94,data/WBC_withoutdupl_norm,logreg,True,0.1,3,3.1542775,0.7197273658459462
95,data/WBC_withoutdupl_norm,logreg,True,0.5,3,7.0236295,0.7493395199098729
96,data/WBC_withoutdupl_norm,logreg,True,1.0,3,10.5242653,0.7510058340054115
97,data/WBC_withoutdupl_norm,logreg,False,0.1,3,0.7169968,0.7549302383564068
98,data/WBC_withoutdupl_norm,logreg,False,0.5,3,2.6611642,0.7864938028703767
99,data/WBC_withoutdupl_norm,logreg,False,1.0,3,3.1274947,0.7866145304981957
100,data/WBC_withoutdupl_norm,klr,True,0.1,3,6.3153682,0.2722205801222161
101,data/WBC_withoutdupl_norm,klr,True,0.5,3,11.6117145,0.1570689989719265
102,data/WBC_withoutdupl_norm,klr,True,1.0,3,40.0409318,0.3385333833083556
103,data/WBC_withoutdupl_norm,klr,False,0.1,3,0.479796,0.7470433177249588
104,data/WBC_withoutdupl_norm,klr,False,0.5,3,1.0670435,0.7937690210081939
105,data/WBC_withoutdupl_norm,klr,False,1.0,3,3.6473177,0.7995580268229714
106,data/WBC_withoutdupl_norm,libsvm,True,0.1,3,0.5062409,0.6687390546995389
107,data/WBC_withoutdupl_norm,libsvm,True,0.5,3,1.5264581,0.7009514598280447
108,data/WBC_withoutdupl_norm,libsvm,True,1.0,3,2.7584238,0.670734099217402
109,data/WBC_withoutdupl_norm,libsvm,False,0.1,3,0.1012405,0.6109791943037223
110,data/WBC_withoutdupl_norm,libsvm,False,0.5,3,0.3251248,0.7599796856628234
111,data/WBC_withoutdupl_norm,libsvm,False,1.0,3,0.5945254,0.7797283631545535
112,data/WBC_withoutdupl_norm,svc,True,1.0,3,4.7585913,0.6456672141173359
113,data/WBC_withoutdupl_norm,libsvm,True,1.0,3,0.8558611,0.6506715237362964
